,UserId,ProductId,Rating,Timestamp,Snack_Sub_Name,Price,Product_ID
0,AKM1MP6P0OYPR,0132793040,5.0,1365811200,Bokksu,39.0,594481813
1,A2CX7LUOHB2NDG,0321732944,5.0,1341100800,NatureBox,5.0,528881469
2,A2NWSAGRHCP8N5,0439886341,1.0,1367193600,Candy Club,39.99,511189877
3,A2WNBOD3WNDNKT,0439886341,3.0,1374451200,Snakku,38.95,321732944
4,A1GI0U4ZRJA8WN,0439886341,1.0,1334707200,Candy Club,39.99,511189877
5,A1QGNMC6O1VW39,0511189877,5.0,1397433600,Keto Krate,34.95,594482127
6,A3J3BRHTDRFJ2G,0511189877,2.0,1397433600,SnackNation,9.99,558835155
7,A2TY0BTJOTENPG,0511189877,5.0,1395878400,MunchPak,9.95,594481902
8,A34ATBPOK6HCHY,0511189877,5.0,1395532800,NatureBox,5.0,528881469
9,A89DO69P0XZ27,0511189877,5.0,1395446400,Snakku,38.95,321732944
10,AZYNQZ94U6VDB,0511189877,5.0,1401321600,TokyoTreat,22.5,970407998
11,A1DA3W4GTFXP6O,0528881469,5.0,1405641600,Try the World Snack,19.0,972683275
12,A29LPQQDG7LD5J,0528881469,1.0,1352073600,MunchPak,9.95,594481902
13,AO94DHGC771SJ,0528881469,5.0,1370131200,Bokksu,39.0,594481813
14,AMO214LNFCEI4,0528881469,1.0,1290643200,NatureBox,5.0,528881469
15,A28B1G1MSJ6OO1,0528881469,4.0,1280016000,Vegan Cuts Snack Box,22.95,899336795
16,A3N7T0DY83Y4IG,0528881469,3.0,1283990400,Snakku,38.95,321732944
17,A1H8PY3QHMQQA0,0528881469,2.0,1290556800,SnackNation,9.99,558835155
18,A2CPBQ5W4OGBX,0528881469,2.0,1277078400,Love With Food,9.99,439886341
19,A265MKAR2WEH3Y,0528881469,4.0,1294790400,NatureBox,5.0,528881469
20,A37K02NKUIT68K,0528881469,5.0,1293235200,Snakku,38.95,321732944
21,A2AW1SSVUIYV9Y,0528881469,4.0,1289001600,NatureBox,5.0,528881469
22,A2AEHUKOV014BP,0528881469,5.0,1284249600,Love With Food,9.99,439886341
23,AMLFNXUIEMN4T,0528881469,1.0,1307836800,Snakku,38.95,321732944
24,A2O8FIJR9EBU56,0528881469,4.0,1278547200,Yummy Bazaar World Sampler,9.95,594451647
25,A3IQGFB959IR4P,0528881469,1.0,1327363200,Snakku,38.95,321732944
